Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.053e-9,  0.217966e-3,  0.000000e-3,     0.650,     0.650,     0.647,     0.649,     0.012,     0.012,     0.012,     0.012,     0.640,     0.012,     0.012,     0.012,     0.012,     0.634,     0.012,     0.012,     0.012,     0.012,     0.639,     0.202,     0.012,     0.012,     0.012,     0.012,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.054e-9,  0.206951e-3,  0.000000e-3,     0.650,     0.650,     0.648,     0.649,     0.011,     0.011,     0.011,     0.011,     0.642,     0.011,     0.011,     0.011,     0.011,     0.637,     0.011,     0.011,     0.011,     0.011,     0.642,     0.193,     0.011,     0.011,     0.011,     0.011,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.055e-9,  0.196874e-3,  0.000000e-3,     0.650,     0.650,     0.648,     0.650,     0.011,     0.011,     0.011,     0.011,     0.644,     0.011,     0.011,     0.011,     0.011,     0.640,     0.011,     0.011,     0.011,     0.011,     0.644,     0.184,     0.011,     0.011,     0.011,     0.011,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.056e-9,  0.187744e-3,  0.000000e-3,     0.650,     0.650,     0.649,     0.650,     0.010,     0.010,     0.010,     0.010,     0.645,     0.010,     0.010,     0.010,     0.010,     0.642,     0.010,     0.010,     0.010,     0.010,     0.645,     0.175,     0.010,     0.010,     0.010,     0.010,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.057e-9,  0.179564e-3,  0.000000e-3,     0.650,     0.650,     0.649,     0.650,     0.010,     0.010,     0.010,     0.010,     0.647,     0.010,     0.010,     0.010,     0.010,     0.644,     0.010,     0.010,     0.010,     0.010,     0.646,     0.166,     0.010,     0.010,     0.010,     0.010,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.058e-9,  0.172322e-3,  0.000000e-3,     0.650,     0.650,     0.649,     0.650,     0.009,     0.009,     0.009,     0.009,     0.647,     0.009,     0.009,     0.009,     0.009,     0.645,     0.009,     0.009,     0.009,     0.009,     0.647,     0.157,     0.009,     0.009,     0.009,     0.009,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.059e-9,  0.165985e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.008,     0.009,     0.008,     0.008,     0.648,     0.008,     0.008,     0.008,     0.009,     0.646,     0.008,     0.008,     0.008,     0.009,     0.648,     0.149,     0.008,     0.008,     0.009,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.060e-9,  0.160504e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.008,     0.008,     0.008,     0.008,     0.649,     0.008,     0.008,     0.008,     0.008,     0.647,     0.008,     0.008,     0.008,     0.008,     0.648,     0.140,     0.008,     0.008,     0.008,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.061e-9,  0.155812e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.008,     0.008,     0.008,     0.008,     0.649,     0.008,     0.008,     0.008,     0.008,     0.648,     0.008,     0.008,     0.008,     0.008,     0.649,     0.132,     0.008,     0.008,     0.008,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.062e-9,  0.151843e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.007,     0.007,     0.007,     0.007,     0.649,     0.007,     0.007,     0.007,     0.007,     0.648,     0.007,     0.007,     0.007,     0.007,     0.649,     0.124,     0.007,     0.007,     0.007,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
